date,open,high,low,close,volume
2024-05-06,513.75,516.61,513.3,516.57,47264700
2024-05-07,517.56,518.57,516.45,517.14,52561300
2024-05-08,515.26,517.74,515.14,517.19,42047200
2024-05-09,517.38,520.21,516.71,520.17,43643700
2024-05-10,521.81,522.64,519.59,520.84,52233200
2024-05-13,522.56,522.67,519.74,520.91,36716400
2024-05-14,521.11,523.83,520.56,523.3,57535900
2024-05-15,525.83,530.08,525.18,529.78,59504900
2024-05-16,529.88,531.52,528.54,528.69,50244800
2024-05-17,528.81,529.52,527.32,529.45,59187600
2024-05-20,529.57,531.56,529.17,530.06,37764200
2024-05-21,529.28,531.52,529.07,531.36,33437000
2024-05-22,530.65,531.38,527.6,529.83,48390000
2024-05-23,532.96,533.07,524.72,525.96,57211200
2024-05-24,527.85,530.27,526.88,529.44,41291100
2024-05-28,530.27,530.51,527.11,529.81,36269600
2024-05-29,525.68,527.31,525.37,526.1,45190300
2024-05-30,524.52,525.2,521.33,522.61,46377600
2024-05-31,523.59,527.5,518.36,527.37,90785800
2024-06-03,529.02,529.31,522.6,527.8,46835700
2024-06-04,526.46,529.15,524.96,528.39,34632700
2024-06-05,530.77,534.69,528.73,534.67,47610400
2024-06-06,534.98,535.42,532.68,534.66,30808500
2024-06-07,533.66,536.89,532.54,534.01,43224500
2024-06-10,533.18,535.99,532.57,535.66,35686100
2024-06-11,534.07,537.01,532.05,536.95,36383400
2024-06-12,541.63,544.12,540.3,541.36,63251300
2024-06-13,543.15,543.33,539.59,542.45,44760900
2024-06-14,540.88,542.81,539.85,542.78,40089900
2024-06-17,542.08,548.53,541.61,547.1,55839500
2024-06-18,547.16,548.62,546.73,548.49,41376400
2024-06-20,549.44,550.12,545.18,547.0,70328200
2024-06-21,544.4,545.65,543.02,544.51,64338600
2024-06-24,544.33,546.95,542.62,542.74,45528700
2024-06-25,543.99,545.2,542.44,544.83,37936200
2024-06-26,543.69,546.24,543.03,545.51,38550600
2024-06-27,545.37,546.96,544.61,546.37,35041500
2024-06-28,547.16,550.28,542.95,544.22,76144500
